model_name,Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
densenet121,Potato___healthy,31,0,0,10830,1.0,1.0,1.0
densenet121,Raspberry___healthy,72,0,0,10789,1.0,1.0,1.0
densenet121,Soybean___healthy,1036,6,1,9818,0.9942418426103646,0.9990356798457088,0.9966329966329964
densenet121,Squash___Powdery_mildew,380,1,0,10480,0.9973753280839897,1.0,0.9986859395532194
densenet121,Strawberry___Leaf_scorch,209,1,1,10650,0.9952380952380953,0.9952380952380953,0.9952380952380953
densenet121,Strawberry___healthy,99,0,0,10762,1.0,1.0,1.0
densenet121,Tomato___Bacterial_spot,427,3,1,10430,0.9930232558139536,0.9976635514018692,0.9953379953379954
densenet121,Tomato___Early_blight,180,1,1,10679,0.994475138121547,0.994475138121547,0.994475138121547
densenet121,Tomato___Late_blight,401,2,4,10454,0.9950372208436724,0.9901234567901236,0.9925742574257426
densenet121,Tomato___Leaf_Mold,179,0,1,10681,1.0,0.9944444444444444,0.9972144846796658
densenet121,Tomato___Septoria_leaf_spot,364,2,1,10494,0.994535519125683,0.9972602739726028,0.9958960328317372
densenet121,Tomato___Spider_mites Two-spotted_spider_mite,334,1,1,10525,0.9970149253731344,0.9970149253731344,0.9970149253731344
densenet121,Tomato___Target_Spot,282,2,2,10575,0.9929577464788732,0.9929577464788732,0.9929577464788732
densenet121,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1060,2,1,9798,0.9981167608286252,0.9990574929311968,0.9985869053226564
densenet121,Tomato___Tomato_mosaic_virus,70,0,0,10791,1.0,1.0,1.0
densenet121,Tomato___healthy,315,1,1,10544,0.9968354430379748,0.9968354430379748,0.9968354430379748
efficientnetb0,Apple___Apple_scab,128,2,4,10727,0.9846153846153848,0.9696969696969696,0.9770992366412214
efficientnetb0,Apple___Black_rot,127,3,0,10731,0.9769230769230768,1.0,0.9883268482490272
efficientnetb0,Apple___Cedar_apple_rust,45,0,2,10814,1.0,0.9574468085106383,0.9782608695652174
efficientnetb0,Apple___healthy,329,2,5,10525,0.9939577039274924,0.9850299401197604,0.9894736842105264
efficientnetb0,Blueberry___healthy,307,1,1,10552,0.9967532467532468,0.9967532467532468,0.9967532467532468
efficientnetb0,Cherry_(including_sour)___Powdery_mildew,206,2,0,10653,0.9903846153846154,1.0,0.9951690821256038
efficientnetb0,Cherry_(including_sour)___healthy,175,1,1,10684,0.9943181818181818,0.9943181818181818,0.9943181818181818
efficientnetb0,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,101,11,9,10740,0.9017857142857144,0.9181818181818182,0.90990990990991
efficientnetb0,Corn_(maize)___Common_rust_,234,1,0,10626,0.9957446808510638,1.0,0.9978678038379531
efficientnetb0,Corn_(maize)___Northern_Leaf_Blight,171,9,12,10669,0.95,0.9344262295081968,0.9421487603305784
efficientnetb0,Corn_(maize)___healthy,237,0,0,10624,1.0,1.0,1.0
efficientnetb0,Grape___Black_rot,241,1,0,10619,0.9958677685950412,1.0,0.9979296066252588
efficientnetb0,Grape___Esca_(Black_Measles),307,1,1,10552,0.9967532467532468,0.9967532467532468,0.9967532467532468
efficientnetb0,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),230,0,1,10630,1.0,0.9956709956709956,0.9978308026030368
efficientnetb0,Grape___healthy,83,1,0,10777,0.988095238095238,1.0,0.9940119760479044
efficientnetb0,Orange___Haunglongbing_(Citrus_greening),1058,0,0,9803,1.0,1.0,1.0
efficientnetb0,Peach___Bacterial_spot,422,1,1,10437,0.9976359338061466,0.9976359338061466,0.9976359338061466
efficientnetb0,Peach___healthy,72,1,0,10788,0.9863013698630136,1.0,0.993103448275862
efficientnetb0,"Pepper,_bell___Bacterial_spot",176,0,0,10685,1.0,1.0,1.0
efficientnetb0,"Pepper,_bell___healthy",290,0,2,10569,1.0,0.9931506849315068,0.9965635738831616
efficientnetb0,Potato___Early_blight,216,1,0,10644,0.9953917050691244,1.0,0.997690531177829
efficientnetb0,Potato___Late_blight,212,4,1,10644,0.9814814814814816,0.9953051643192488,0.9883449883449884
efficientnetb0,Potato___healthy,30,0,1,10830,1.0,0.967741935483871,0.9836065573770492
efficientnetb0,Raspberry___healthy,72,0,0,10789,1.0,1.0,1.0
efficientnetb0,Soybean___healthy,1035,1,2,9823,0.999034749034749,0.9980713596914176,0.9985528219971056
efficientnetb0,Squash___Powdery_mildew,380,1,0,10480,0.9973753280839897,1.0,0.9986859395532194
efficientnetb0,Strawberry___Leaf_scorch,210,0,0,10651,1.0,1.0,1.0
efficientnetb0,Strawberry___healthy,99,0,0,10762,1.0,1.0,1.0
efficientnetb0,Tomato___Bacterial_spot,428,3,0,10430,0.9930394431554525,1.0,0.9965075669383004
efficientnetb0,Tomato___Early_blight,170,4,11,10676,0.9770114942528736,0.9392265193370166,0.9577464788732396
efficientnetb0,Tomato___Late_blight,400,5,5,10451,0.9876543209876544,0.9876543209876544,0.9876543209876544
efficientnetb0,Tomato___Leaf_Mold,180,1,0,10680,0.994475138121547,1.0,0.9972299168975068
